name,country,web_page,description,facultades_habilitadas
Eberhard Karls Universität Tübingen,Alemania,http://www.uni-tuebingen.de/,Intercambio disponible en Eberhard Karls Universität Tübingen para estudiantes de no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hochschule Bonn-Rhein-Sieg,Alemania,http://www.fh-bonn-rhein-sieg.de/,Programa de intercambio con Hochschule Bonn-Rhein-Sieg. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hochschule für Wirtschaft und Recht Berlin,Alemania,http://www.hwr-berlin.de/,Movilidad académica disponible en Hochschule für Wirtschaft und Recht Berlin para no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,Alemania,https://www.hfwu.de/,Intercambio con Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen en Alemania. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hochschule Osnabrück,Alemania,https://www.hs-osnabrueck.de/,Programa de intercambio con Hochschule Osnabrück. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Hochschule RheinMain,Alemania,http://www.hs-rm.de/,Programa de intercambio con Hochschule RheinMain. Estudiantes de: no especificadas pueden postular.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Kühne Logistics University,Alemania,http://www.the-klu.org/,Intercambio con Kühne Logistics University en Alemania. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Ostbayerische Technische Hochschule Regensburg,Alemania,http://www.oth-regensburg.de/,Convenio internacional con Ostbayerische Technische Hochschule Regensburg. Facultades UM: Ingeniería (FIUM).,FIUM
Technische Universität Darmstadt,Alemania,http://www.tu-darmstadt.de/,Intercambio con Technische Universität Darmstadt en Alemania. Dirigido a: Ingeniería (FIUM).,FIUM
Technische Universität München (TUM),Alemania,https://www.tum.de/,Intercambio con Technische Universität München (TUM) en Alemania. Dirigido a: Ingeniería (FIUM).,FIUM
Universität zu Köln,Alemania,http://www.uni-koeln.de/,Estudiantes de la UM pueden realizar intercambio en Universität zu Köln (Alemania). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Instituto Tecnológico de Buenos Aires,Argentina,http://www.itba.edu.ar/,Instituto Tecnológico de Buenos Aires (Argentina) – acuerdo de movilidad. Facultades UM aplicables: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Austral,Argentina,http://www.austral.edu.ar/,Acuerdo bilateral con Universidad Austral – Argentina. Áreas UM admitidas: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad Austral - Intercambios especiales (Diplomas),Argentina,https://montevideo.adv-pub.moveonca.com/report-page-1662/#,Estudiantes de la UM pueden realizar intercambio en Universidad Austral - Intercambios especiales (Diplomas) (Argentina). Facultades: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
Universidad del CEMA,Argentina,http://www.cema.edu.ar/,Intercambio con Universidad del CEMA en Argentina. Dirigido a: no especificadas.,FIUM;FDER;FHUMyE;Psicología;FCOM;FCEE
